GPS_Time(s),PRN,nSV,pseudorange,C/N0,Elevation,Azimuth,err_tropo,err_iono,sat_clock_error,Pseudorange_residual,Normalized_Pseudorange_residual,Pr_rate_consitency,Sat_pos_x,Sat_pos_y,Sat_pos_z,LOS/NLOS_label
 55868, 29,11,23065288.274000,35.000000,19.506721,213.015722,7.090192,3.296608,127928.106856,-5.523520,-0.498782,0.128251,2787030.850743,23572773.974085,-11953695.277686,1.000000
 55868, 36,11,23011430.162000,34.000000,9.824069,63.747487,13.487419,4.076167,79756.477003,-17.163280,-1.549870,-0.449449,-21409309.033719,-3334492.346460,13471496.342470,1.000000
 55868, 47,11,20811904.456000,35.000000,33.880484,67.601722,4.273923,2.456450,-3644.211294,2.653374,0.239604,0.302113,-20841005.668387,6382993.975706,13176665.710428,1.000000
 55868, 48,11,20844279.851000,39.000000,32.795107,147.689780,4.397884,2.508028,28655.491156,13.323060,1.203092,0.561009,-17965878.088950,16508974.280477,-7277207.533360,1.000000
 55868, 51,11,22787480.535000,32.000000,12.701418,183.012639,10.628772,3.824850,-16584.686940,5.223686,0.471707,-1.434696,-6802076.516752,18070718.700013,-16674356.304335,1.000000
 55868, 52,11,20057728.640000,24.000000,46.766228,236.537767,3.274975,1.972013,-102761.727260,-4.036840,-0.364533,-2.354397,1407691.934514,25481268.077747,907279.231195,-1.000000
 55869,  5,11,23605275.611000,40.000000,16.347805,95.848998,8.380781,3.530553,-1687.841187,-17.397789,-1.666199,0.119781,-26400989.292519,2497976.304488,2799162.688700,1.000000
 55869, 12,11,24585914.277000,35.000000,5.383291,152.271298,22.331914,4.498564,97536.366600,1.756032,0.168177,-0.251890,-17437881.923611,10294917.474869,-17275686.772263,1.000000
 55869, 13,11,23070333.145000,31.000000,20.202596,39.442014,6.862727,3.247611,-27929.564190,33.618463,3.219665,-2.814094,-15683843.881057,582411.742868,21320940.568803,-1.000000
 55869, 15,11,20716992.243000,27.000000,49.759862,15.884747,3.127548,1.889924,-105540.297827,-16.263533,-1.557571,-0.588775,-9911695.873747,12939304.193446,20703758.582881,-1.000000
 55869, 24,11,19798905.874000,44.000000,68.734233,139.173259,2.563418,1.576938,-15483.349056,2.619347,0.250857,0.080689,-14868069.426017,21341495.532535,4431812.375771,1.000000
 55869, 29,11,23065885.067000,36.000000,19.501718,213.009912,7.094657,3.296964,127928.104908,-4.332520,-0.414929,0.217279,2786206.332847,23571497.156701,-11956409.565573,1.000000
 55869, 36,11,23011818.246000,34.000000,9.821404,63.755454,13.496014,4.076408,79756.477276,-16.237807,-1.555107,-0.320387,-21411017.820376,-3335188.163554,13468602.030108,1.000000
 55869, 47,11,20812087.557000,35.000000,33.879703,67.590556,4.275666,2.456486,-3644.211567,3.235074,0.309825,0.150694,-20839401.514473,6382142.608634,13179624.536787,1.000000
 55869, 48,11,20843751.472000,38.000000,32.803024,147.683969,4.398653,2.507645,28655.491156,13.285482,1.272361,0.066674,-17966617.998858,16509655.397490,-7273814.776281,1.000000
 55869, 51,11,22788386.302000,31.000000,12.693645,183.010234,10.639011,3.825506,-16584.686940,2.914410,0.279115,-2.955810,-6802006.144757,18068428.547994,-16676866.876901,1.000000
 55869, 52,11,20058262.991000,23.000000,46.759441,236.527026,3.276608,1.972211,-102761.727533,-3.197159,-0.306194,0.446697,1407934.575224,25481382.352886,903682.555728,-1.000000
 55870,  5,11,23605743.042000,41.000000,16.344377,95.855848,8.383485,3.530818,-1687.840622,-16.591815,-1.640339,-0.219816,-26401360.973151,2497680.119867,2796056.554003,1.000000
 55870, 12,11,24585658.481000,31.000000,5.386447,152.265374,22.325385,4.498249,97536.366071,0.912719,0.090235,-0.617096,-17440026.387402,10294642.692630,-17273645.170457,1.000000
 55870, 13,11,23070988.455000,32.000000,20.196922,39.445784,6.865393,3.248007,-27929.564411,31.045682,3.069311,-5.152193,-15684857.828225,579876.523949,21320267.477194,-1.000000
 55870, 15,11,20717435.926000,28.000000,49.754708,15.893027,3.128173,1.890057,-105540.298425,-13.454531,-1.330174,0.792531,-9913306.995323,12937138.587192,20704373.223107,-1.000000
 55870, 24,11,19798819.254000,45.000000,68.740406,139.155739,2.563628,1.576884,-15483.349892,2.666651,0.263637,-0.122623,-14868117.348540,21340810.843747,4434895.481284,1.000000
 55870, 29,11,23066481.783000,36.000000,19.496697,213.004106,7.097259,3.297321,127928.102959,-4.578706,-0.452671,0.220351,2785381.583158,23570220.083914,-11959123.600832,1.000000
 55870, 36,11,23012206.064000,33.000000,9.818748,63.763427,13.501031,4.076648,79756.477548,-16.037885,-1.585575,-0.623331,-21412726.308502,-3335883.669150,13465707.394449,1.000000
 55870, 47,11,20812270.693000,34.000000,33.878928,67.579400,4.276282,2.456522,-3644.211840,3.644370,0.360298,0.064621,-20837797.092299,6381290.886435,13182583.046551,1.000000
 55870, 48,11,20843222.900000,39.000000,32.810931,147.678172,4.398264,2.507263,28655.491156,11.442513,1.131257,-0.054968,-17967357.472006,16510336.311159,-7270421.841884,1.000000
 55870, 51,11,22789300.187000,29.000000,12.685856,183.007836,10.646462,3.826163,-16584.686940,5.919844,0.585262,5.056551,-6801935.979692,18066138.048118,-16679377.049096,1.000000
 55870, 52,11,20058796.527000,23.000000,46.752634,236.516284,3.277379,1.972410,-102761.727805,-4.968841,-0.491241,-1.163897,1408177.205960,25481496.118189,900085.857764,-1.000000
 55871,  5,12,23606210.428000,42.000000,16.341261,95.862716,8.391077,3.531057,-1687.840057,-3.908183,-0.205938,-0.258072,-26401732.282468,2497383.949670,2792950.359774,1.000000
 55871, 12,12,24585393.085000,31.000000,5.389908,152.259610,22.331578,4.497902,97536.365542,5.002942,0.263625,-10.063851,-17442170.614733,10294368.060680,-17271603.204014,1.000000
 55871, 13,12,23071637.867000,33.000000,20.191283,39.449451,6.872178,3.248400,-27929.564632,6.582190,0.346842,-10.868774,-15685871.891678,577341.443543,21319593.927621,-1.000000
 55871, 15,12,20717877.301000,29.000000,49.749429,15.900910,3.130684,1.890192,-105540.299023,-40.876497,-2.153946,-1.594427,-9914918.269508,12934973.002904,20704987.412243,-1.000000
 55871, 21,12,21364253.979000,14.000000,50.909710,307.200434,3.078731,1.861112,-112986.204107,60.580177,3.192212,9999.000000,2451233.389771,21280519.570845,16518355.034221,-1.000000
 55871, 24,12,19798732.642000,44.000000,68.746988,139.138585,2.565372,1.576826,-15483.350728,-5.551382,-0.292524,-0.258873,-14868165.127328,21340125.812271,4437978.490528,1.000000
 55871, 29,12,23067078.690000,37.000000,19.491699,212.998615,7.104124,3.297676,127928.101010,-21.829246,-1.150270,0.333066,2784556.602865,23568942.756289,-11961837.382110,1.000000
 55871, 36,12,23012593.799000,32.000000,9.816262,63.771381,13.513981,4.076872,79756.477821,-10.223859,-0.538736,-0.671484,-21414434.498368,-3336578.863820,13462812.434872,1.000000
 55871, 47,12,20812453.994000,34.000000,33.878362,67.568071,4.279444,2.456548,-3644.212112,7.246439,0.381844,0.072885,-20836192.402761,6380438.810782,13185541.237531,1.000000
 55871, 48,12,20842694.560000,38.000000,32.819196,147.672607,4.400473,2.506863,28655.491156,24.992176,1.316938,0.004846,-17968096.507019,16511017.021857,-7267028.732676,1.000000
 55871, 51,12,22790207.384000,29.000000,12.678262,183.005684,10.660182,3.826804,-16584.686940,9.461040,0.498540,-1.683874,-6801866.021608,18063847.200459,-16681886.820859,1.000000
 55871, 52,12,20059328.031000,22.000000,46.745690,236.506113,3.280127,1.972613,-102761.728078,-31.475796,-1.658585,-2.877165,1408419.827413,25481609.373551,896489.139104,-1.000000
 55872,  5,13,23606677.671000,41.000000,16.338165,95.869564,8.314895,3.531296,-1687.839492,26.466204,0.827541,-0.327382,-26402103.220200,2497087.794907,2789844.107557,1.000000
 55872, 12,13,24585121.765000,31.000000,5.393427,152.253921,22.111125,4.497550,97536.365013,14.636122,0.457640,-15.261869,-17444314.606928,10294093.578250,-17269560.872003,1.000000
 55872, 13,13,23072297.047000,34.000000,20.185470,39.453043,6.810451,3.248806,-27929.564852,-5.230644,-0.163551,-0.997830,-15686886.071379,574806.501709,21318919.920097,-1.000000
 55872, 15,13,20718318.778000,28.000000,49.743910,15.908563,3.102003,1.890335,-105540.299621,-43.574321,-1.362475,-1.367046,-9916529.695662,12932807.441329,20705601.150131,-1.000000
 55872, 24,13,19798645.999000,45.000000,68.753765,139.121502,2.541548,1.576766,-15483.351565,37.075237,1.159263,-0.316825,-14868212.762431,21339440.438097,4441061.403436,1.000000
 55872, 29,13,23067675.322000,37.000000,19.486611,212.993308,7.040132,3.298038,127928.099062,-29.372597,-0.918418,0.351941,2783731.392551,23567665.174137,-11964550.908703,1.000000
 55872, 36,13,23012981.006000,36.000000,9.813686,63.779306,13.391693,4.077105,79756.478094,-40.865772,-1.277784,-0.954450,-21416142.389200,-3337273.746515,13459917.152827,1.000000
 55872, 37,13,20780917.531000,15.000000,34.920283,16.421918,4.129502,2.408714,-8842.944621,-8.998521,-0.281364,9999.000000,-8948287.874925,7860185.015788,22556726.425297,-1.000000
 55872, 47,13,20812637.317000,38.000000,33.877735,67.556603,4.239953,2.456578,-3644.212385,-0.596706,-0.018658,0.113768,-20834587.445398,6379586.380522,13188499.111069,1.000000
 55872, 48,13,20842165.784000,44.000000,32.827550,147.667134,4.358816,2.506459,28655.491156,37.748886,1.180326,-0.335990,-17968835.104840,16511697.529205,-7263635.447122,1.000000
 55872, 51,13,22791114.966000,34.000000,12.670665,183.003663,10.567326,3.827445,-16584.686940,-10.689236,-0.334229,-1.031718,-6801796.270855,18061556.004426,-16684396.192728,1.000000
 55872, 52,13,20059858.709000,26.000000,46.738583,236.496305,3.250190,1.972821,-102761.728351,-68.553539,-2.143521,-3.555850,1408662.438734,25481722.119075,892892.398119,1.000000
 55872, 53,13,21169026.325000,23.000000,29.825035,307.722522,4.747746,2.658561,3109.112969,91.954888,2.875231,9999.000000,8880445.966914,16622284.450078,17175384.200642,-1.000000
