GPS_Time(s),PRN,nSV,pseudorange,C/N0,Elevation,Azimuth,err_tropo,err_iono,sat_clock_error,Pseudorange_residual,Normalized_Pseudorange_residual,Pr_rate_consitency,Sat_pos_x,Sat_pos_y,Sat_pos_z,LOS/NLOS_label
 52044,  2, 9,21937021.961000,33.000000,24.412557,139.467463,5.639587,2.970050,23011.688183,-2.619154,-0.194634,9999.000000,-20876079.702327,13330246.769800,-8694187.073016,1.000000
 52044,  5, 9,22003719.463000,27.000000,28.098294,67.635625,4.956243,2.752600,-1689.572037,-6.023574,-0.447623,9999.000000,-22439188.932889,4172387.564345,13657490.612728,-1.000000
 52044, 13, 9,20604688.193000,34.000000,45.258869,29.083026,3.295541,2.017376,-27928.803927,-19.094309,-1.418934,9999.000000,-12896170.245053,10702826.303841,20497953.843151,1.000000
 52044, 15, 9,19353995.005000,38.000000,68.892999,327.377956,2.511435,1.575553,-105537.527842,15.567137,1.156823,9999.000000,-5035385.982735,20811645.587138,15252783.264920,1.000000
 52044, 24, 9,20890953.913000,35.000000,40.128434,168.971300,3.630253,2.193344,-15479.231911,20.956848,1.557343,9999.000000,-13229448.966906,21656124.949365,-7432726.311006,1.000000
 52044, 29, 9,20967396.224000,16.000000,38.892391,239.967504,3.725958,2.240980,127935.667926,-8.786948,-0.652975,9999.000000,4568504.384972,26169554.417400,-293790.436330,-1.000000
 52044, 46, 9,21866223.121000,22.000000,17.545156,64.201927,7.688118,3.439627,8530.783245,24.031596,1.785833,9999.000000,-21467281.381682,-121009.797190,13802080.593961,-1.000000
 52044, 47, 9,21140389.667000,30.000000,24.587449,107.638113,5.602413,2.959202,-3642.965784,-16.696238,-1.240729,9999.000000,-24353256.167716,7414603.713468,257358.727173,-1.000000
 52044, 51, 9,19512739.390000,35.000000,46.579883,189.955174,3.223074,1.977472,-16583.849329,-7.335358,-0.545104,9999.000000,-7993137.068110,23749162.482381,-4782692.071435,1.000000
 52045,  2, 9,21937692.579000,40.000000,24.405770,139.471533,5.647760,2.970472,23011.683725,-3.742411,-0.274191,-0.595850,-20875501.355714,13329158.153399,-8697083.778310,1.000000
