GPS_Time(s),PRN,nSV,pseudorange,C/N0,Elevation,Azimuth,err_tropo,err_iono,sat_clock_error,Pseudorange_residual,Normalized_Pseudorange_residual,Pr_rate_consitency,Sat_pos_x,Sat_pos_y,Sat_pos_z,LOS/NLOS_label
 57148,  5, 9,24225845.815000,20.000000,11.763392,104.293051,11.281835,3.904893,-1687.077619,22.406466,1.281953,9999.000000,-26571754.923342,2114109.788924,-1198804.444760,-1.000000
 57148, 15, 9,21297838.302000,22.000000,43.351719,25.827690,3.433057,2.078809,-105540.976646,-52.611485,-3.010088,9999.000000,-12085761.936440,10207282.646296,21118149.537746,-1.000000
 57148, 20, 9,21834195.373000,26.000000,33.727492,324.338507,4.239238,2.463609,153251.340703,19.889322,1.137938,9999.000000,5130446.310297,15094140.794160,21130817.477954,-1.000000
 57148, 21, 9,21097675.363000,25.000000,56.938963,294.142329,2.814151,1.732930,-112982.034746,26.288614,1.504064,9999.000000,1246542.914981,23234753.084253,13628030.679049,-1.000000
 57148, 24, 9,19785370.931000,22.000000,74.169647,107.125531,2.452409,1.538314,-15484.441027,3.435311,0.196546,9999.000000,-14829260.014243,20183620.732370,8273375.814142,1.000000
 57148, 29, 9,23815697.134000,17.000000,13.370799,205.785074,10.005890,3.768824,127925.618642,-19.408227,-1.110413,9999.000000,1535849.300016,21749429.815677,-15200695.760628,-1.000000
 57148, 47, 9,21168737.075000,19.000000,31.324798,54.031600,4.525260,2.580804,-3644.560299,6.633029,0.379499,9999.000000,-18597993.792401,4997598.456105,16679752.083192,-1.000000
 57148, 52, 9,20829235.782000,36.000000,37.498799,225.004614,3.868977,2.297245,-102762.076264,-3.090231,-0.176803,9999.000000,1683052.927083,25212240.382786,-3684147.966620,1.000000
 57148, 53, 9,21072840.018000,27.000000,32.648730,294.610702,4.362131,2.515120,3108.417141,-3.542798,-0.202696,9999.000000,9368104.202323,19301761.446519,13776617.330151,-1.000000
 57149,  5,10,24226358.195000,30.000000,11.759663,104.299419,11.272944,3.905215,-1687.076993,22.058839,1.393703,1.529847,-26571650.216142,2113792.169639,-1201932.113806,-1.000000
 57149, 15,10,21298311.449000,29.000000,43.346897,25.835049,3.429652,2.078970,-105540.977105,-49.864269,-3.150483,2.879125,-12087540.863820,10205191.209345,21118180.916590,-1.000000
 57149, 20,10,21833855.565000,33.000000,33.733088,324.343277,4.234041,2.463346,153251.340568,20.653859,1.304935,4.366076,5127782.597498,15094707.006456,21131049.721471,-1.000000
 57149, 21,10,21097528.980000,31.000000,56.942742,294.129755,2.810990,1.732861,-112982.031641,24.544157,1.550729,0.066685,1245722.811428,23236151.504951,13625577.850819,-1.000000
 57149, 24,10,19785443.478000,34.000000,74.171274,107.093690,2.449740,1.538305,-15484.441894,2.806894,0.177343,-1.860582,-14829165.131034,20182494.001948,8276281.885775,1.000000
 57149, 29,10,23816281.188000,22.000000,13.366218,205.779557,9.998278,3.769204,127925.616702,-20.199479,-1.276227,5.700875,1534714.147267,21747873.347997,-15203039.924168,-1.000000
 57149, 37,10,21024300.469000,24.000000,33.616444,29.482957,4.246908,2.468830,-8845.033738,-4.334814,-0.273879,9999.000000,-12512696.305261,6425736.064752,21280590.506296,-1.000000
 57149, 47,10,21169118.336000,22.000000,31.321660,54.021768,4.520773,2.580963,-3644.560571,9.073741,0.573290,-0.221409,-18596116.623062,4996281.861638,16682248.502950,-1.000000
 57149, 52,10,20829910.019000,37.000000,37.491241,224.997052,3.865457,2.297558,-102762.076536,-1.448394,-0.091511,3.023112,1683219.252966,25211708.687120,-3687701.891935,1.000000
 57149, 53,10,21072869.596000,29.000000,32.649724,294.599815,4.357300,2.515072,3108.416595,-3.290533,-0.207900,1.961437,9368564.260679,19303602.302455,13773724.020598,-1.000000
 57150,  5,10,24226865.023000,29.000000,11.755934,104.305771,11.277220,3.905536,-1687.076366,18.018591,1.317458,-4.158631,-26571545.139005,2113474.500866,-1205059.759118,-1.000000
 57150, 15,10,21298787.441000,30.000000,43.342070,25.842418,3.430242,2.079131,-105540.977564,-45.624352,-3.335897,5.627266,-12089319.898878,10203099.864024,21118211.837241,-1.000000
 57150, 20,10,21833508.484000,35.000000,33.738705,324.348059,4.233777,2.463083,153251.340433,15.500620,1.133352,-2.935261,5125118.883474,15095273.363378,21131281.510906,-1.000000
 57150, 21,10,21097381.929000,29.000000,56.946548,294.117204,2.811103,1.732792,-112982.028537,21.774790,1.592098,-0.616767,1244902.892506,23237549.696793,13623124.744960,-1.000000
 57150, 24,10,19785521.468000,33.000000,74.172880,107.061766,2.449925,1.538296,-15484.442761,4.982394,0.364296,3.309537,-14829070.169240,20181366.926082,8279187.778289,1.000000
 57150, 29,10,23816866.222000,24.000000,13.361673,205.774026,10.002311,3.769581,127925.614763,-14.652043,-1.071307,6.964187,1533578.742440,21746316.699559,-15205383.765497,-1.000000
 57150, 37,10,21024494.096000,25.000000,33.615472,29.493166,4.247369,2.468876,-8845.035374,-1.656411,-0.121111,2.229663,-12515451.440482,6424790.158970,21279257.031676,-1.000000
 57150, 47,10,21169498.009000,23.000000,31.318512,54.011932,4.521555,2.581123,-3644.560844,7.888489,0.576779,-4.519360,-18594239.295735,4994964.898264,16684744.521747,-1.000000
 57150, 52,10,20830576.412000,37.000000,37.483724,224.989476,3.866436,2.297869,-102762.076809,-6.451135,-0.471685,-5.053532,1683385.469125,25211176.497484,-3691255.730641,1.000000
 57150, 53,10,21072901.311000,28.000000,32.650750,294.588937,4.357542,2.515022,3108.416050,0.219056,0.016017,4.100467,9369024.411798,19305442.730375,13770830.379089,-1.000000
 57151,  5,10,24227378.275000,28.000000,11.752191,104.312096,11.261181,3.905860,-1687.075740,122.457561,0.509498,2.236207,-26571439.691916,2113156.783631,-1208187.379138,-1.000000
 57151, 15,10,21299275.233000,33.000000,43.337158,25.849755,3.424672,2.079295,-105540.978023,-38.504367,-0.160202,17.372910,-12091099.040970,10201008.611091,21118242.299692,-1.000000
 57151, 20,10,21833168.598000,34.000000,33.744244,324.352876,4.225911,2.462823,153251.340297,352.323933,1.465883,4.273045,5122455.169187,15095839.864695,21131512.846196,-1.000000
 57151, 21,10,21097233.229000,32.000000,56.950308,294.104760,2.806165,1.732723,-112982.025433,97.266108,0.404686,-2.501630,1244083.158794,23238947.659373,13620671.362102,-1.000000
 57151, 24,10,19785593.880000,32.000000,74.174492,107.029575,2.445706,1.538287,-15484.443628,-267.806103,-1.114237,-2.430757,-14828975.128585,20180239.505304,8282093.490927,1.000000
 57151, 29,10,23817449.184000,24.000000,13.357158,205.768505,9.988307,3.769956,127925.612823,426.378559,1.773995,5.033918,1532443.086824,21744759.871113,-15207727.283448,-1.000000
 57151, 32,10,24472052.643000,10.000000,10.019684,255.067667,13.050719,4.058531,-146362.346905,-692.115692,-2.879624,9999.000000,16451818.044845,20834673.551971,-1770245.320570,-1.000000
 57151, 47,10,21169876.072000,24.000000,31.315295,54.002054,4.514216,2.581286,-3644.561116,-200.900606,-0.835869,-4.228733,-18592361.811229,4993647.567260,16687240.138335,-1.000000
 57151, 52,10,20831242.312000,35.000000,37.476231,224.981946,3.860462,2.298179,-102762.077082,-2.419724,-0.010068,-5.644302,1683551.576282,25210643.814100,-3694809.480959,1.000000
 57151, 53,10,21072930.863000,29.000000,32.651721,294.578109,4.349957,2.514975,3108.415505,203.320330,0.845937,1.773553,9369484.656060,19307282.729027,13767936.407074,-1.000000
 57152,  5, 8,24227889.155000,25.000000,11.748434,104.318398,11.256200,3.906184,-1687.075113,8.859699,1.583119,4.285657,-26571333.874875,2112839.018423,-1211314.973056,-1.000000
 57152, 15, 8,21299778.546000,28.000000,43.332224,25.857105,3.422454,2.079460,-105540.978482,-11.593347,-2.071588,32.615012,-12092878.289452,10198917.451306,21118272.303937,-1.000000
 57152, 20, 8,21832824.791000,28.000000,33.749801,324.357715,4.222181,2.462562,153251.340162,2.414312,0.431408,0.054669,5119791.455597,15096406.510172,21131743.727282,-1.000000
 57152, 21, 8,21097083.541000,26.000000,56.954100,294.092355,2.803972,1.732654,-112982.022328,10.087003,1.802423,-3.538996,1243263.610871,23240345.392285,13618217.702881,-1.000000
 57152, 24, 8,19785664.239000,31.000000,74.176072,106.997254,2.443881,1.538279,-15484.444495,-2.024018,-0.361667,-5.065024,-14828880.008793,20179111.740147,8284999.022935,1.000000
 57152, 29, 8,23818028.784000,23.000000,13.352684,205.762963,9.984062,3.770328,127925.610884,-7.743649,-1.383694,-0.681494,1531307.179762,21743202.862378,-15210070.478530,-1.000000
 57152, 47, 8,21170257.682000,24.000000,31.312052,53.992170,4.511298,2.581450,-3644.561389,-1.024417,-0.183051,-0.573125,-18590484.170355,4992329.869902,16689735.351463,-1.000000
 57152, 52, 8,20831911.786000,22.000000,37.468788,224.974394,3.858261,2.298487,-102762.077354,1.024417,0.183051,-2.152053,1683717.575158,25210110.637188,-3698363.141109,1.000000
