GPS_Time(s),PRN,nSV,pseudorange,C/N0,Elevation,Azimuth,err_tropo,err_iono,sat_clock_error,Pseudorange_residual,Normalized_Pseudorange_residual,Pr_rate_consitency,Sat_pos_x,Sat_pos_y,Sat_pos_z,LOS/NLOS_label
 54399,  5,13,22948538.551000,36.000000,21.151223,85.447767,6.483017,3.182263,-1688.609607,-26.223380,-1.035688,9999.000000,-25459296.725700,2975355.177941,7267190.803669,1.000000
 54399, 13,13,22095590.792000,30.000000,29.055896,34.432045,4.834944,2.699846,-27929.231016,35.805724,1.414141,9999.000000,-14336329.737280,4426876.661042,21809441.259309,-1.000000
 54399, 15,13,20102043.891000,44.000000,57.538200,2.288024,2.791665,1.722164,-105539.321723,15.152170,0.598432,9999.000000,-7721617.451881,16114560.158594,19320886.317912,1.000000
 54399, 20,13,22779582.014000,35.000000,19.819583,310.483885,6.891546,3.274465,153251.576279,-19.261895,-0.760745,9999.000000,12230471.745951,14088220.193938,18817597.272287,1.000000
 54399, 21,13,21822395.669000,47.000000,42.254283,315.965831,3.499859,2.116265,-112991.448667,3.403640,0.134426,9999.000000,4249863.306004,18713972.908436,19173992.414371,1.000000
 54399, 24,13,20050640.458000,42.000000,58.269147,156.634480,2.769482,1.709484,-15482.163244,-8.876258,-0.350566,9999.000000,-14617215.815365,21985366.588887,-168584.970574,1.000000
 54399, 36,13,22423181.055000,16.000000,13.957789,52.112000,9.596485,3.720442,79755.729643,7.911887,0.312479,9999.000000,-18619553.094198,-1963290.575718,17339076.482732,-1.000000
 54399, 37,13,20477465.733000,39.000000,36.649837,1.185991,3.939954,2.332876,-8840.129138,-32.018920,-1.264582,9999.000000,-4891393.353210,10035517.656856,22933737.945211,1.000000
 54399, 46,13,22505840.804000,31.000000,13.886588,44.196530,9.642854,3.726274,8531.341652,53.369428,2.107816,9999.000000,-16365384.021309,-1946379.243663,19486113.394196,-1.000000
 54399, 47,13,20706647.587000,43.000000,32.963934,84.144689,4.319659,2.499884,-3643.743138,-50.239231,-1.984190,9999.000000,-22866839.174407,7267100.097087,8525890.223673,1.000000
 54399, 51,13,21455428.344000,28.000000,24.763394,186.089477,5.596900,2.948346,-16584.407736,15.531233,0.613403,9999.000000,-7098678.584654,21023638.869447,-12587713.308668,-1.000000
 54399, 52,13,19420524.119000,25.000000,55.123180,256.241041,2.870922,1.767657,-102761.259104,33.404421,1.319302,9999.000000,1082409.640131,24767319.144210,6122056.014454,-1.000000
 54399, 53,13,21570052.909000,33.000000,23.388809,319.949673,5.901513,3.034617,3110.051464,-27.958819,-1.104229,9999.000000,8675741.569209,12828272.041901,20258238.746431,1.000000
 54400,  5,13,22948957.237000,38.000000,21.148119,85.455048,6.492442,3.182474,-1688.609130,-30.894567,-1.205084,-10.850040,-25460199.956492,2974984.767782,7264241.014518,1.000000
 54400, 13,13,22096246.780000,26.000000,29.049543,34.435069,4.842261,2.700191,-27929.231246,32.571933,1.270512,-7.094960,-14337139.037833,4424203.980254,21809451.863003,-1.000000
 54400, 15,13,20102434.290000,45.000000,57.532853,2.298565,2.795501,1.722259,-105539.322446,15.953074,0.622271,-0.502159,-7722978.694950,16112427.761466,19322145.700898,1.000000
