GPS_Time(s),PRN,nSV,pseudorange,C/N0,Elevation,Azimuth,err_tropo,err_iono,sat_clock_error,Pseudorange_residual,Normalized_Pseudorange_residual,Pr_rate_consitency,Sat_pos_x,Sat_pos_y,Sat_pos_z,LOS/NLOS_label
 53269,  2, 8,22807971.156000,26.000000,16.092815,143.726840,8.545482,3.550273,23006.082379,-9.095660,-0.364876,9999.000000,-20041228.873010,11764175.557056,-12079451.286180,1.000000
 53269, 13, 8,21359602.602000,11.000000,36.525659,31.381422,4.024780,2.338175,-27929.073765,22.834496,0.916014,9999.000000,-13526758.065079,7460560.094959,21498764.716635,-1.000000
 53269, 15, 8,19697602.679000,23.000000,63.444610,348.557776,2.682612,1.633154,-105538.524141,-13.136419,-0.526972,9999.000000,-6302615.523437,18465537.198280,17634832.333684,1.000000
 53269, 21, 8,22259242.192000,26.000000,35.168755,319.476409,4.158041,2.397546,-112995.630335,-20.622554,-0.827281,9999.000000,5928125.522862,16625279.879120,20656212.058457,1.000000
 53269, 24, 8,20396935.815000,26.000000,49.515044,163.709986,3.153328,1.896249,-15480.039511,3.545921,0.142246,9999.000000,-14124254.202208,22016582.599929,-3710969.880979,1.000000
 53269, 29, 8,21568038.885000,24.000000,32.955376,229.892397,4.400890,2.500297,127933.242161,16.474216,0.660869,9999.000000,4241590.758502,25888277.354251,-4219045.720035,1.000000
 53269, 36, 8,21940605.291000,8.000000,17.534295,43.271189,7.879779,3.440439,79755.074715,56.857774,2.280871,9999.000000,-16201685.002193,-418431.500592,19714802.142467,-1.000000
 53269, 46, 8,22103571.858000,13.000000,16.584807,53.385362,8.305579,3.512331,8531.062449,-56.857774,-2.280871,9999.000000,-18980592.447835,-861719.326373,17039506.627207,-1.000000
 53270,  2, 7,22808726.903000,27.000000,16.085921,143.729635,8.543935,3.550808,23006.077691,-11.652008,-1.162008,8.390043,-20040457.629048,11762706.250362,-12082065.697878,1.000000
 53270, 13, 7,21360242.010000,13.000000,36.518757,31.383836,4.023076,2.338470,-27929.073991,18.319335,1.826913,-1.423219,-13527379.066328,7457877.849708,21499302.251597,-1.000000
 53270, 15, 7,19697926.763000,31.000000,63.439652,348.572116,2.681159,1.633217,-105538.524931,-12.747350,-1.271242,-2.555630,-6303764.819294,18463521.785222,17636549.912289,1.000000
 53270, 21, 7,22258835.456000,25.000000,35.175161,319.474269,4.154953,2.397259,-112995.626486,-10.696821,-1.066751,2.258948,5926531.527929,16627145.589132,20655127.338322,1.000000
 53270, 24, 7,20396585.089000,31.000000,49.522730,163.704757,3.151125,1.896049,-15480.040214,3.534309,0.352462,4.096521,-14124824.589881,22016718.444766,-3707865.969084,1.000000
 53270, 29, 7,21568563.362000,25.000000,32.950331,229.884765,4.398908,2.500539,127933.240187,13.242535,1.320624,-7.736579,4241253.839376,25887819.232203,-4222211.987719,1.000000
 53270, 46, 7,22103851.349000,17.000000,16.583095,53.376822,8.301523,3.512462,8531.062449,-0.000000,-0.000000,-0.660863,-18978394.848565,-862504.148485,17041914.105868,-1.000000
 53271,  2, 7,22809466.755000,26.000000,16.079166,143.732522,8.558135,3.551333,23006.073002,-12.843812,-1.195792,-7.648380,-20039686.261335,11761236.632759,-12084679.841467,1.000000
 53271, 13, 7,21360881.646000,14.000000,36.511914,31.386164,4.028800,2.338763,-27929.074218,19.101896,1.778435,1.173172,-13528000.239856,7455195.575379,21499839.324549,-1.000000
 53271, 15, 7,19698252.174000,30.000000,63.434628,348.586202,2.684660,1.633280,-105538.525721,-15.292546,-1.423775,-1.578207,-6304914.304505,18461506.233459,17638267.104420,1.000000
 53271, 21, 7,22258427.307000,30.000000,35.181465,319.472108,4.159553,2.396977,-112995.622637,-9.456595,-0.880433,0.931691,5924937.718850,16629011.289644,20654042.207704,1.000000
 53271, 24, 7,20396231.022000,25.000000,49.530527,163.699747,3.154736,1.895847,-15480.040917,5.819559,0.541816,1.164929,-14125394.727013,22016854.014125,-3704761.977762,1.000000
 53271, 29, 7,21569093.783000,24.000000,32.945233,229.877292,4.405061,2.500785,127933.238214,12.671498,1.179749,-3.214027,4240916.786891,25887360.746905,-4225378.164154,1.000000
 53271, 46, 7,22104132.235000,18.000000,16.581490,53.368271,8.312778,3.512586,8531.062449,0.000000,0.000000,-0.299820,-18976197.010222,-863289.274508,17044321.175289,-1.000000
 53272,  2, 7,22810213.699000,26.000000,16.072406,143.735395,8.556722,3.551857,23006.068314,-9.257444,-1.147837,-1.053039,-20038914.769928,11759766.704251,-12087293.716887,1.000000
 53272, 13, 7,21361519.303000,13.000000,36.505017,31.388480,4.027188,2.339058,-27929.074444,14.900633,1.847540,-0.798495,-13528621.586490,7452513.269417,21500375.935862,-1.000000
 53272, 15, 7,19698584.243000,30.000000,63.429555,348.600308,2.683271,1.633344,-105538.526511,-9.716270,-1.204727,4.956424,-6306063.979072,18459490.543054,17639983.910041,1.000000
 53272, 21, 7,22258020.677000,29.000000,35.187724,319.469966,4.156577,2.396697,-112995.618788,-9.254211,-1.147436,2.389568,5923344.094978,16630876.981149,20652956.666365,1.000000
 53272, 24, 7,20395868.027000,25.000000,49.538334,163.694715,3.152600,1.895644,-15480.041621,2.186626,0.271121,-10.326667,-14125964.614674,22016989.307540,-3701657.905599,1.000000
 53272, 29, 7,21569622.570000,25.000000,32.940134,229.869835,4.403187,2.501030,127933.236241,11.140666,1.381339,-3.901471,4240579.598878,25886901.898242,-4228544.252292,1.000000
