GPS_Time(s),PRN,nSV,pseudorange,C/N0,Elevation,Azimuth,err_tropo,err_iono,sat_clock_error,Pseudorange_residual,Normalized_Pseudorange_residual,Pr_rate_consitency,Sat_pos_x,Sat_pos_y,Sat_pos_z,LOS/NLOS_label
 58806, 10,13,23585798.708000,23.000000,18.980321,317.524271,7.187617,3.334271,56556.103080,3.646166,0.096137,9999.000000,11130751.041966,12417664.046428,20751348.342687,-1.000000
 58806, 12,13,23683419.275000,34.000000,16.492587,134.386912,8.207695,3.519407,97534.371923,-41.805119,-1.102255,9999.000000,-22508277.009478,9975157.716022,-9905634.843054,1.000000
 58806, 15,13,22094240.060000,22.000000,35.776571,37.588956,4.027513,2.370617,-105541.565266,-46.513946,-1.226410,9999.000000,-15148164.009137,6902251.540958,20544637.011293,-1.000000
 58806, 20,13,21284419.556000,23.000000,43.658959,332.080859,3.413743,2.068600,153251.081277,-24.927324,-0.657247,9999.000000,761439.632753,16220556.018438,20891064.938965,1.000000
 58806, 21,13,20996219.213000,41.000000,60.375272,269.119778,2.713422,1.675655,-112977.274283,42.951815,1.132490,9999.000000,122043.006553,25201175.489758,9218656.906756,1.000000
 58806, 24,13,20085765.571000,37.000000,70.093858,60.451346,2.509142,1.565608,-15485.887137,16.725923,0.441004,9999.000000,-14602621.301837,17851051.389916,12798102.222409,1.000000
 58806, 32,13,24073467.080000,22.000000,15.894698,266.076150,8.499295,3.565683,-146358.541260,49.922485,1.316282,9999.000000,15969318.499556,21009712.479535,3444149.618495,-1.000000
 58806, 37,13,21345753.072000,26.000000,31.999361,46.440313,4.440279,2.546994,-8848.150237,92.442960,2.437398,9999.000000,-16877076.390024,5241856.616767,18398014.086973,-1.000000
 58806, 38,13,21355761.035000,33.000000,31.270287,338.168450,4.532206,2.583567,40435.923750,-78.467710,-2.068920,9999.000000,2264566.964265,11735270.252778,22534444.097618,1.000000
 58806, 47,13,22002784.279000,25.000000,24.077483,40.005690,5.751934,2.990979,-3645.001481,34.261574,0.903358,9999.000000,-15337621.191688,2317366.763026,20224234.698198,-1.000000
 58806, 48,13,19693649.698000,26.000000,55.272575,121.748405,2.869454,1.764678,28655.491156,-26.395434,-0.695956,9999.000000,-18373778.621749,17335630.357409,3093373.632619,1.000000
 58806, 52,13,22041153.526000,32.000000,25.046430,214.242218,5.545578,2.930993,-102762.595952,6.573915,0.173331,9999.000000,1754491.914784,23678081.878121,-9391590.300846,1.000000
 58806, 53,13,21329196.154000,37.000000,31.802309,276.314025,4.464687,2.556797,3107.656966,-28.415305,-0.749212,9999.000000,10202344.139424,21734648.557037,8579537.537542,-1.000000
 58807, 10,13,23585403.605000,25.000000,18.985492,317.528612,7.184062,3.333898,56556.103448,7.250876,0.186484,1.319933,11128206.195207,12418297.019192,20752320.783343,-1.000000
 58807, 12,13,23683088.580000,38.000000,16.496792,134.380508,8.203765,3.519084,97534.371091,-41.135406,-1.057956,0.379260,-22509524.024550,9975151.819200,-9902732.917984,1.000000
 58807, 15,13,22094717.812000,24.000000,35.772288,37.595855,4.026971,2.370805,-105541.565512,-48.944357,-1.258794,-6.179735,-15150057.203682,6900376.198635,20543917.594713,-1.000000
 58807, 20,13,21284097.736000,21.000000,43.665332,332.085424,3.412536,2.068390,153251.081103,-27.495544,-0.707155,-4.744779,758861.536769,16221340.087289,20890544.315991,1.000000
 58807, 21,13,20996243.689000,46.000000,60.375321,269.103000,2.712776,1.675654,-112977.271658,44.350065,1.140634,-0.396679,121493.458467,25202127.648175,9215814.621257,1.000000
 58807, 24,13,20086048.518000,42.000000,70.088270,60.432430,2.508634,1.565652,-15485.888007,19.759057,0.508181,-0.066911,-14602466.106281,17849372.226408,12800626.778850,1.000000
 58807, 32,13,24073248.952000,23.000000,15.898031,266.083077,8.495589,3.565423,-146358.538947,46.215309,1.188606,-4.202137,15968817.819942,21009585.967345,3447270.321818,-1.000000
 58807, 37,13,21345946.302000,25.000000,31.998359,46.450585,4.439347,2.547044,-8848.151873,89.128433,2.292283,-4.613713,-16879547.848556,5241368.523495,18395886.961075,-1.000000
 58807, 38,13,21355642.430000,36.000000,31.273109,338.177634,4.530765,2.583424,40435.923750,-77.508801,-1.993439,0.363639,2261567.720978,11734548.666372,22535118.511476,1.000000
 58807, 47,13,22003400.956000,24.000000,24.072106,39.998699,5.751759,2.991316,-3645.001481,37.666030,0.968728,2.696456,-15335606.396841,2315458.312320,20225989.996403,-1.000000
 58807, 48,13,19693438.371000,26.000000,55.279034,121.734564,2.868549,1.764550,28655.491156,-28.442204,-0.731502,-1.075548,-18373376.015364,17335421.422736,3096917.390900,1.000000
 58807, 52,13,22041932.141000,33.000000,25.039027,214.236524,5.545775,2.931445,-102762.596225,8.362887,0.215084,5.468848,1754380.169023,23676781.607911,-9394883.125796,1.000000
 58807, 53,13,21329471.959000,39.000000,31.800310,276.303169,4.463875,2.556897,3107.656420,-29.206345,-0.751154,0.777986,10202855.300317,21735727.268690,8576196.052207,-1.000000
 58808, 10,12,23585010.357000,26.000000,18.990668,317.532904,7.189019,3.333526,56556.103816,10.325395,0.327177,2.979934,11125661.264889,12418930.166833,20753292.785566,-1.000000
 58808, 12,12,23682758.038000,44.000000,16.501039,134.374247,8.209541,3.518758,97534.370259,-38.683743,-1.225756,0.632927,-22510770.681013,9975145.943721,-9899830.780278,1.000000
 58808, 15,12,22095212.161000,26.000000,35.768205,37.602764,4.031179,2.370984,-105541.565757,-23.710765,-0.751314,10.105962,-15151950.425711,6898501.020372,20543197.735213,-1.000000
 58808, 20,12,21283774.901000,21.000000,43.671753,332.089824,3.415366,2.068178,153251.080929,-32.713397,-1.036576,-6.644113,756283.542854,16222124.269425,20890023.243522,1.000000
 58808, 21,12,20996268.691000,44.000000,60.375215,269.086043,2.715346,1.675656,-112977.269034,33.852150,1.072660,0.093562,120944.046793,25203079.501087,9212972.144933,1.000000
 58808, 24,12,20086331.454000,43.000000,70.082894,60.413665,2.511093,1.565695,-15485.888878,22.945098,0.727052,-0.212749,-14602310.916359,17847692.746796,12803151.057777,1.000000
 58808, 32,12,24073031.287000,25.000000,15.901239,266.090006,8.502019,3.565173,-146358.536634,27.985262,0.886758,-3.791148,15968316.868587,21009459.195866,3450390.952967,-1.000000
 58808, 38,12,21355523.734000,37.000000,31.276000,338.186723,4.534679,2.583277,40435.923750,-55.918445,-1.771866,0.325755,2258568.330194,11733827.298045,22535792.384151,1.000000
 58808, 47,12,22004022.324000,24.000000,24.066922,39.991736,5.758356,2.991642,-3645.001481,78.991596,2.502975,7.425235,-15333591.592361,2313549.523632,20227744.808127,-1.000000
 58808, 48,12,19693226.299000,25.000000,55.285575,121.721074,2.871037,1.764420,28655.491156,-13.664143,-0.432970,-1.810648,-18372973.093038,17335212.101894,3100461.075114,1.000000
 58808, 52,12,22042714.142000,33.000000,25.031471,214.230921,5.552573,2.931907,-102762.596497,15.254968,0.483378,8.832528,1754268.200475,23675480.912659,-9398175.726509,1.000000
 58808, 53,12,21329747.768000,37.000000,31.798194,276.292257,4.468364,2.557002,3107.655875,-24.663975,-0.781518,0.667171,10203366.427127,21736805.499094,8572854.359783,-1.000000
 58809, 10,11,23584616.185000,25.000000,18.995913,317.537249,7.194776,3.333148,56556.104184,16.869106,0.510640,2.057612,11123116.251077,12419563.489352,20754264.349335,-1.000000
 58809, 12,11,23682426.881000,43.000000,16.505211,134.367780,8.216292,3.518438,97534.369426,-46.445860,-1.405949,-0.030818,-22512016.976961,9975140.091105,-9896928.432764,1.000000
 58809, 15,11,22095716.854000,28.000000,35.763885,37.609693,4.035873,2.371174,-105541.566003,-8.935671,-0.270489,20.693421,-15153843.674599,6896626.006915,20542477.432980,-1.000000
 58809, 20,11,21283452.755000,21.000000,43.678182,332.094451,3.418588,2.067966,153251.080755,-39.472749,-1.194868,-4.828395,753705.651065,16222908.564817,20889501.721569,1.000000
 58809, 21,11,20996293.453000,44.000000,60.375365,269.069240,2.718221,1.675653,-112977.266411,31.454747,0.952157,-0.299735,120394.773204,25204031.047769,9210129.479873,1.000000
 58809, 24,11,20086614.407000,41.000000,70.077224,60.394865,2.513845,1.565739,-15485.889748,14.624085,0.442681,-0.261505,-14602155.731575,17846012.952417,12805675.057931,1.000000
 58809, 32,11,24072815.406000,25.000000,15.904672,266.096903,8.509311,3.564906,-146358.534321,31.906342,0.965827,-1.658804,15967815.646431,21009332.164643,3453511.510390,-1.000000
 58809, 38,11,21355404.701000,34.000000,31.278871,338.195944,4.539118,2.583132,40435.923750,-60.481845,-1.830828,0.001723,2255568.792002,11733106.147831,22536465.715627,1.000000
 58809, 47,11,22004639.791000,26.000000,24.061507,39.984759,5.765669,2.991982,-3645.001481,71.401848,2.161384,2.824737,-15331576.778775,2311640.397719,20229499.132910,-1.000000
 58809, 52,11,22043493.177000,33.000000,25.024142,214.225151,5.559968,2.932354,-102762.596770,15.437729,0.467311,5.822187,1754156.009957,23674179.792979,-9401468.101337,1.000000
 58809, 53,11,21330023.469000,36.000000,31.796298,276.281384,4.473340,2.557097,3107.655330,-26.357732,-0.797867,0.389200,10203877.520286,21737883.247364,8569512.461943,-1.000000
 58810, 10,11,23584218.750000,24.000000,19.001076,317.541616,7.190281,3.332776,56556.104552,12.302359,0.374367,-1.132344,11120571.153837,12420196.986751,20755235.474629,-1.000000
 58810, 12,11,23682095.900000,41.000000,16.509418,134.361308,8.211283,3.518115,97534.368594,-51.037983,-1.553111,0.158086,-22513262.914251,9975134.259726,-9894025.872736,1.000000
 58810, 15,11,22096227.332000,29.000000,35.759510,37.616578,4.034812,2.371366,-105541.566248,9.357253,0.284746,26.412434,-15155736.950865,6894751.157588,20541756.687861,-1.000000
 58810, 20,11,21283134.426000,21.000000,43.684522,332.099094,3.416934,2.067757,153251.080580,-45.604039,-1.387754,-2.448759,751127.861462,16223692.973437,20888979.750143,1.000000
 58810, 21,11,20996318.437000,42.000000,60.375473,269.052573,2.717217,1.675652,-112977.263788,31.273422,0.951666,-0.122192,119845.635386,25204982.289097,9207286.623425,1.000000
 58810, 24,11,20086897.508000,39.000000,70.071532,60.375875,2.513009,1.565784,-15485.890618,9.967462,0.303315,-0.167577,-14602000.552523,17844332.841992,12808198.780462,1.000000
 58810, 32,11,24072602.073000,24.000000,15.908063,266.103839,8.504458,3.564641,-146358.532008,33.741525,1.026772,0.713328,15967314.152475,21009204.874213,3456631.995508,-1.000000
 58810, 38,11,21355285.704000,33.000000,31.281652,338.205174,4.537086,2.582991,40435.923750,-61.894948,-1.883494,0.020389,2252569.105570,11732385.215632,22537138.506048,1.000000
 58810, 47,11,22005254.649000,25.000000,24.056036,39.977755,5.764760,2.992325,-3645.001481,65.773273,2.001514,0.427747,-15329561.956170,2309730.934615,20231252.970710,-1.000000
 58810, 52,11,22044264.093000,32.000000,25.016825,214.219428,5.559421,2.932802,-102762.597043,18.324405,0.557621,-2.314117,1754043.596534,23672878.248370,-9404760.251770,1.000000
 58810, 53,11,21330299.064000,34.000000,31.794346,276.270569,4.471936,2.557194,3107.654785,-22.202731,-0.675640,0.216136,10204388.579203,21738960.514353,8566170.357174,-1.000000
